actor/actor_entropy,actor/actor_loss,actor/bc_flow_loss,actor/distill_loss,actor/q_loss,alpha/alpha_loss,alpha/alpha_value,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-182.27109,75.26404,0.0,0.12620887,62.643154,6.089953,0.033411514,10.760717,-35.870804,-71.380486,-100.45041,6.4627967,-6.9089556,256.75497,5000
-181.07993,24.29123,0.0,0.061441183,18.14711,1.0815663,0.005972867,1.2660756,2.5524838,-19.961056,-40.66286,6.1713843,-7.198769,141.75,10000
-183.90921,6.791139,0.0,0.05576768,1.2143708,0.19609928,0.0010662831,0.44214106,14.494572,-4.7837753,-20.907347,6.462011,-7.221855,130.89238,15000
-188.54997,25.231552,0.0,0.067868836,18.444668,0.035853896,0.00019015594,1.0277123,-0.07456736,-22.593473,-33.440098,7.629656,-9.652019,195.39792,20000
-191.25175,18.261505,0.0,0.04327277,13.934227,0.0064981505,3.3976947e-05,0.74313307,-8.495149,-18.018658,-29.586441,3.388525,-3.4457774,99.0054,25000
-191.19115,17.016617,0.0,0.048837435,12.132873,0.0011619614,6.077485e-06,0.3846228,-7.239829,-16.295074,-27.619276,4.787962,-6.4032063,138.50261,30000
-186.75314,15.649068,0.0,0.048304588,10.818609,0.00020306377,1.0873379e-06,1.8692815,-4.5308056,-13.938844,-23.71952,4.036837,-5.1726203,140.63629,35000
-189.32095,13.619374,0.0,0.050661653,8.553209,3.682266e-05,1.9449861e-07,0.4349649,-4.5260653,-12.62093,-26.589352,4.4913197,-5.322013,118.656235,40000
-190.66832,13.340916,0.0,0.047337364,8.607179,6.6497237e-06,3.487587e-08,0.6048927,-6.044973,-12.528933,-21.070879,4.2930293,-5.0141535,131.02103,45000
-189.32251,11.219072,0.0,0.048323866,6.3866854,1.1897724e-06,6.2843686e-09,0.54463464,-2.9797723,-11.211817,-20.322226,3.1848135,-4.5022545,115.26309,50000
-189.78441,12.8934765,0.0,0.051669527,7.7265234,2.2084166e-07,1.1636448e-09,0.9538169,-3.5941432,-12.167619,-22.372675,5.0950217,-6.4760795,165.98099,55000
-190.95097,12.677912,0.0,0.045865364,8.091375,4.6735106e-08,2.4474925e-10,1.0495584,0.6310348,-12.250511,-23.915705,4.830625,-6.0646806,122.39407,60000
-190.63972,11.16342,0.0,0.03789836,7.3735833,1.38799425e-08,7.280719e-11,0.5390538,-1.4886202,-11.513422,-22.270336,5.375608,-3.324139,105.13231,65000
-189.4162,12.143752,0.0,0.03908989,8.234763,6.2101972e-09,3.278599e-11,0.5791599,-5.7735415,-12.335408,-25.05088,3.6166222,-3.229279,109.50255,70000
-192.1825,13.370507,0.0,0.039873697,9.383138,3.7205314e-09,1.9359367e-11,0.41394427,-3.8534837,-13.483395,-28.286118,6.131032,-6.5078874,126.67464,75000
-192.58162,11.926729,0.0,0.036913004,8.235429,2.564558e-09,1.3316732e-11,0.25066417,-4.27971,-12.267202,-21.637928,5.790762,-7.1043983,160.60443,80000
-190.44643,5.53093,0.0,0.041079737,1.4229566,1.907791e-09,1.0017469e-11,0.7400632,8.96253,-6.7387834,-18.777437,3.1212053,-3.570199,90.78473,85000
-190.70026,10.943185,0.0,0.040847655,6.8584194,1.5216747e-09,7.979405e-12,0.28759113,-2.9174728,-10.95025,-18.318241,3.6624637,-5.0512767,106.37762,90000
